Year,Jan_Init,Dec_KSR,Dec_Ocean,ACTUAL,Actual_Delta,KSR_Delta,Direction_Match
1985,-4.0,-1.6,3.6,-1.0,3.0,2.4,YES
1986,-2.0,4.7,4.8,5.0,7.0,6.7,YES
1987,5.0,-6.2,-5.3,4.0,-1.0,-11.2,YES
1988,3.0,-3.1,-4.2,-7.0,-10.0,-6.1,YES
1989,-7.0,4.2,4.5,0.0,7.0,11.2,YES
1990,1.0,4.1,4.1,1.0,0.0,3.0999999999999996,NO
1991,1.0,6.0,4.8,6.0,5.0,5.0,YES
1992,6.0,-2.5,-3.9,0.0,-6.0,-8.5,YES
1993,1.0,-6.1,-4.8,1.0,0.0,-7.1,NO
1994,0.0,-3.4,-1.8,4.0,4.0,-3.4,NO
1995,4.0,-3.8,-3.0,-4.0,-8.0,-7.8,YES
1996,-4.0,5.6,3.3,-2.0,2.0,9.6,YES
1997,-2.0,1.4,3.1,9.0,11.0,3.4,YES
1998,9.0,-7.0,-5.9,-6.0,-15.0,-16.0,YES
1999,-6.0,-5.3,-4.1,-6.0,0.0,0.7000000000000002,YES
2000,-6.0,4.7,2.6,-3.0,3.0,10.7,YES
2001,-3.0,-1.6,3.4,-1.0,2.0,1.4,YES
2002,-1.0,3.5,3.8,4.0,5.0,4.5,YES
2003,4.0,3.8,3.2,1.0,-3.0,-0.20000000000000018,YES
2004,1.0,6.3,4.5,3.0,2.0,5.3,YES
2005,2.0,-3.9,1.8,-3.0,-5.0,-5.9,YES
2006,-3.0,3.5,3.9,4.0,7.0,6.5,YES
2007,2.0,-3.4,-3.1,-7.0,-9.0,-5.4,YES
2008,-7.0,3.5,1.7,-3.0,4.0,10.5,YES
2009,-4.0,3.7,4.5,6.0,10.0,7.7,YES
2010,6.0,-4.4,-3.6,-6.0,-12.0,-10.4,YES
2011,-5.0,1.5,2.1,-4.0,1.0,6.5,YES
2012,-3.0,5.0,3.2,0.0,3.0,8.0,YES
2013,-1.0,4.0,4.6,0.0,1.0,5.0,YES
2014,-1.0,4.8,4.4,3.0,4.0,5.8,YES
2015,3.0,3.5,3.1,10.0,7.0,0.5,YES
2016,10.0,-3.1,-4.1,-1.0,-11.0,-13.1,YES
2017,0.0,-4.8,-3.9,-3.0,-3.0,-4.8,YES
2018,-3.0,4.7,4.9,4.0,7.0,7.7,YES
2019,4.0,-0.8,0.5,3.0,-1.0,-4.8,YES
2020,3.0,4.8,-1.3,-4.0,-7.0,1.7999999999999998,NO
2021,-4.0,-2.6,2.3,-3.0,1.0,1.4,YES
2022,-3.0,6.2,5.3,-3.0,0.0,9.2,NO
2023,-2.0,3.7,3.1,8.0,10.0,5.7,YES
2024,7.0,-4.4,-4.7,-2.0,-9.0,-11.4,YES
2025,-2.0,-3.8,-2.4,-2.0,0.0,-1.7999999999999998,NO
